Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 163 0.261696 0.253994 0.235643 0.248667 1 
1 164 0.25938 0.253709 0.236781 0.25013 1 
1 165 0.257701 0.253335 0.23769 0.251275 1 
1 166 0.256676 0.252886 0.238352 0.252087 1 
1 167 0.256309 0.252381 0.23875 0.25256 1 
1 168 0.256592 0.251842 0.238874 0.252693 1 
1 169 0.257505 0.251291 0.238713 0.25249 1 
1 170 0.259017 0.250754 0.238265 0.251964 1 
1 171 0.261086 0.250254 0.237531 0.251129 1 
1 172 0.263661 0.249816 0.236517 0.250006 1 
1 173 0.266686 0.249463 0.235232 0.248619 1 
1 174 0.270095 0.249214 0.233694 0.246997 1 
1 175 0.273823 0.249086 0.231922 0.245169 1 
1 176 0.2778 0.24909 0.229941 0.243169 1 
1 177 0.281958 0.249235 0.227779 0.241028 1 
1 178 0.286229 0.249524 0.225466 0.23878 1 
1 179 0.29055 0.249954 0.223038 0.236458 1 
1 180 0.294862 0.250516 0.220529 0.234093 1 
1 181 0.29911 0.251199 0.217975 0.231716 1 
1 182 0.303249 0.251984 0.215414 0.229352 1 
1 183 0.307239 0.252851 0.21288 0.227029 1 
1 184 0.311048 0.253776 0.210408 0.224768 1 
1 185 0.314652 0.25473 0.208029 0.22259 1 
1 186 0.318032 0.255686 0.205772 0.22051 1 
1 187 0.321179 0.256616 0.203663 0.218543 1 
1 188 0.324086 0.257491 0.201723 0.216701 1 
1 189 0.326753 0.258285 0.199969 0.214992 1 
1 190 0.329184 0.258975 0.198416 0.213425 1 
1 191 0.331385 0.25954 0.197072 0.212003 1 
1 192 0.333363 0.259965 0.19594 0.210732 1 
1 193 0.335126 0.260238 0.195023 0.209613 1 
1 194 0.336682 0.260352 0.194317 0.208649 1 
1 195 0.338036 0.260307 0.193817 0.20784 1 
1 196 0.339195 0.260106 0.193512 0.207187 1 
1 197 0.340159 0.259759 0.193393 0.206689 1 
1 198 0.340929 0.259279 0.193446 0.206346 1 
1 199 0.341501 0.258682 0.193659 0.206158 1 
1 200 0.341871 0.257989 0.194017 0.206123 1 
1 201 0.342031 0.257223 0.194507 0.20624 1 
1 202 0.341972 0.256408 0.195114 0.206507 1 
1 203 0.341684 0.255568 0.195826 0.206921 1 
1 204 0.341159 0.254728 0.196633 0.20748 1 
1 205 0.340386 0.253911 0.197525 0.208179 1 
1 206 0.339358 0.253137 0.198492 0.209013 1 
1 207 0.338069 0.252424 0.19953 0.209977 1 
1 208 0.336516 0.251789 0.200632 0.211063 1 
1 209 0.334699 0.25124 0.201797 0.212264 1 
1 210 0.332621 0.250787 0.203021 0.213571 1 
1 211 0.330291 0.25043 0.204304 0.214974 1 
1 212 0.327722 0.25017 0.205645 0.216463 1 
1 213 0.324929 0.25 0.207045 0.218026 1 
1 214 0.321934 0.249912 0.208504 0.21965 1 
1 215 0.318761 0.249895 0.21002 0.221323 1 
1 216 0.315439 0.249934 0.211594 0.223033 1 
1 217 0.312001 0.250012 0.213222 0.224765 1 
