Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 156  0.335068 0.240506 0.200187 0.224239 1
1 157  0.337138 0.240762 0.198831 0.223269 1
1 158  0.339773 0.240464 0.197473 0.22229 1
1 159  0.342912 0.239609 0.196158 0.221322 1
1 160  0.346461 0.238231 0.194931 0.220377 1
1 161  0.350298 0.236402 0.193832 0.219468 1
1 162  0.354278 0.234223 0.192896 0.218603 1
1 163  0.358248 0.23182 0.192144 0.217788 1
1 164  0.362052 0.229331 0.191588 0.217028 1
1 165  0.365547 0.226899 0.191228 0.216326 1
1 166  0.36861 0.224655 0.191051 0.215684 1
1 167  0.371147 0.222713 0.191035 0.215104 1
1 168  0.373103 0.221158 0.191149 0.214589 1
1 169  0.374462 0.220038 0.191357 0.214143 1
1 170  0.375249 0.219364 0.191619 0.213768 1
1 171  0.37553 0.219105 0.191899 0.213467 1
1 172  0.375404 0.219194 0.192162 0.21324 1
1 173  0.374999 0.219532 0.192381 0.213089 1
1 174  0.374458 0.219999 0.192535 0.213008 1
1 175  0.373933 0.220461 0.192615 0.212991 1
1 176  0.37357 0.220785 0.192617 0.213027 1
1 177  0.373499 0.220852 0.192548 0.213101 1
1 178  0.373822 0.220565 0.19242 0.213194 1
1 179  0.374606 0.21986 0.192251 0.213284 1
1 180  0.375877 0.218713 0.192062 0.213349 1
1 181  0.377614 0.217146 0.191872 0.213368 1
1 182  0.379753 0.215225 0.1917 0.213322 1
1 183  0.382185 0.213055 0.191562 0.213198 1
1 184  0.384762 0.210778 0.19147 0.21299 1
1 185  0.387312 0.208559 0.191428 0.212701 1
1 186  0.38964 0.206576 0.19144 0.212344 1
1 187  0.391548 0.205006 0.191502 0.211944 1
1 188  0.392844 0.204015 0.191608 0.211532 1
1 189  0.393356 0.203738 0.191754 0.211152 1
1 190  0.392942 0.204277 0.191931 0.21085 1
1 191  0.391505 0.205684 0.192136 0.210676 1
1 192  0.388995 0.207961 0.192367 0.210677 1
1 193  0.385417 0.21106 0.192626 0.210897 1
1 194  0.380833 0.21488 0.19292 0.211368 1
1 195  0.37536 0.219275 0.193257 0.212109 1
1 196  0.369164 0.224064 0.193649 0.213123 1
1 197  0.362452 0.229044 0.194109 0.214395 1
1 198  0.355465 0.233999 0.194648 0.215889 1
1 199  0.348459 0.238713 0.195274 0.217553 1
1 200  0.341697 0.242991 0.195992 0.219319 1
1 201  0.335433 0.246663 0.196799 0.221105 1
1 202  0.329899 0.249595 0.197683 0.222823 1
1 203  0.325291 0.251701 0.198626 0.224382 1
1 204  0.321762 0.252942 0.199602 0.225694 1
1 205  0.319416 0.253327 0.200576 0.226681 1
1 206  0.318297 0.252911 0.201511 0.227282 1
1 207  0.318397 0.251789 0.202363 0.227451 1
1 208  0.319655 0.250087 0.203092 0.227167 1
