Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 730  0.0726011 0.0553999 0.0545507 0.0496847 0.232236
1 740  0.0723331 0.0527038 0.0526602 0.0499406 0.227638
1 750  0.0713227 0.0514103 0.0508523 0.0495448 0.22313
1 760  0.0700726 0.0509217 0.0495981 0.0481194 0.218712
1 770  0.0659389 0.0515129 0.0496819 0.0472474 0.214381
1 780  0.0666883 0.049837 0.0478891 0.0457217 0.210136
1 790  0.067114 0.0477518 0.0467729 0.0443364 0.205975
1 800  0.0643357 0.0474055 0.0464622 0.0436931 0.201897
1 810  0.063029 0.0465217 0.0452415 0.0431066 0.197899
1 820  0.0619155 0.0452385 0.0437178 0.0431083 0.19398
1 830  0.0616029 0.0439853 0.0426452 0.0419057 0.190139
1 840  0.0592729 0.0436057 0.0428911 0.0406043 0.186374
1 850  0.060203 0.0417627 0.0411445 0.0395734 0.182684
1 860  0.0577777 0.0413777 0.0401446 0.0397661 0.179066
1 870  0.0563952 0.0408887 0.0399203 0.0383162 0.17552
1 880  0.0551843 0.040269 0.0389863 0.0376053 0.172045
1 890  0.0555851 0.0389504 0.0373469 0.0367557 0.168638
1 900  0.0533701 0.0381856 0.0374013 0.0363419 0.165299
1 910  0.0508586 0.0374804 0.03771 0.0359767 0.162026
1 920  0.0506021 0.0372064 0.0361553 0.0348536 0.158817
1 930  0.0513329 0.0363579 0.0342837 0.0336981 0.155673
1 940  0.0499185 0.0358764 0.033534 0.0332612 0.15259
1 950  0.0482753 0.0346991 0.0339847 0.0326095 0.149569
1 960  0.0467818 0.0336072 0.0343116 0.0319063 0.146607
1 970  0.0455867 0.0332591 0.0332296 0.0316284 0.143704
1 980  0.0451634 0.0329521 0.0315379 0.031205 0.140858
1 990  0.0463037 0.0320836 0.0299034 0.0297785 0.138069
1 1000  0.0451587 0.0313081 0.0297156 0.0291528 0.135335
1 1010  0.0421779 0.0306118 0.0305717 0.029294 0.132655
1 1020  0.0410372 0.0296696 0.0306344 0.0286875 0.130029
1 1030  0.040453 0.0299736 0.0290174 0.02801 0.127454
1 1040  0.0406316 0.0297348 0.0272138 0.0273499 0.12493
1 1050  0.0407514 0.0280444 0.0270985 0.0265622 0.122456
1 1060  0.0393834 0.0271539 0.0275398 0.0259545 0.120032
1 1070  0.0383542 0.0268743 0.0268131 0.0256132 0.117655
1 1080  0.0368973 0.0269567 0.0259863 0.0254848 0.115325
1 1090  0.0359766 0.0263065 0.0257536 0.0250048 0.113042
1 1100  0.0363184 0.02582 0.0248176 0.0238472 0.110803
1 1110  0.036541 0.0249873 0.0239508 0.0231299 0.108609
1 1120  0.035033 0.0244615 0.0238887 0.0230753 0.106459
1 1130  0.0331733 0.0239281 0.0243105 0.0229385 0.10435
1 1140  0.0319937 0.023767 0.0238691 0.0226544 0.102284
1 1150  0.0322685 0.0234304 0.0226716 0.0218884 0.100259
1 1160  0.0323226 0.0228181 0.0219757 0.0211571 0.0982736
1 1170  0.0316401 0.0223391 0.0216899 0.0206585 0.0963276
1 1180  0.0304474 0.0219462 0.0213788 0.0206478 0.0944202
1 1190  0.0290237 0.0214033 0.0215804 0.0205432 0.0925506
1 1200  0.0289963 0.0209126 0.0209108 0.0198981 0.090718
1 1210  0.0287821 0.0207769 0.0198812 0.0194815 0.0889216
1 1220  0.0280968 0.0202798 0.0196178 0.0191664 0.0871609
1 1230  0.0274009 0.0197539 0.0195332 0.0187469 0.085435
1 1240  0.0275038 0.0192562 0.0187692 0.0182141 0.0837432
1 1250  0.0268227 0.0188298 0.0185002 0.0179323 0.082085
1 1260  0.0257308 0.018581 0.0185619 0.0175859 0.0804596
1 1270  0.0252994 0.0182966 0.0179119 0.0173586 0.0788664
